Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
Model 820  Serial Number:A1013                       Interval Report ,,,,,,,,
From File: J3787.820                          Tue 16Jan2024 09:04:11 ,,,,,,,,
Period = 00:15 (hh:mm) ,,,,,,,,
-------------------------------------------------------------------- ,,,,,,,,
    ,         ,        ,        ,     ,     ,     ,     , 
    ,         ,        ,        , Lxeqz,Lmax , L10 , L90 , 
Intv,  Date   ,  Time  ,Duration, dBA , dBA , dBA , dBA , 
----,\*Date*\,\*Time*\,--------,\*LAeq*\,\*LAmax*\,-----,\*LA90*\, 
1,03Jan2024,09:36:24,00:10.5,94.2,94.4,94.4,94.2,
2,03Jan2024,10:00:00,14:59.1,54.6,66,58.5,48.2,
3,03Jan2024,10:15:00,15:00.0,56.2,66.7,60,48.1,
4,03Jan2024,10:30:00,15:00.0,64.5,80.4,68.7,49.2,
5,03Jan2024,10:45:00,15:00.0,65.7,80,70,52.5,
6,03Jan2024,11:00:00,15:00.0,58.7,76.4,60.8,47.3,
7,03Jan2024,11:15:00,15:00.0,48.8,61.3,51,46.2,
8,03Jan2024,11:30:00,15:00.0,51,63.6,54,47.1,
9,03Jan2024,11:45:00,15:00.0,53.1,63.2,57.2,48.1,
10,03Jan2024,12:00:00,15:00.0,53.8,66,57.7,47.6,
11,03Jan2024,12:15:00,15:00.0,60.5,81.7,61.2,47.3,
12,03Jan2024,12:30:00,15:00.0,71,88.2,74.7,54.2,
13,03Jan2024,12:45:00,15:00.0,63.5,83,67,49.8,
14,03Jan2024,13:00:00,15:00.0,55.1,72.2,57.6,48.6,
15,03Jan2024,13:15:00,15:00.0,52,62.2,54.8,48.2,
16,03Jan2024,13:30:00,15:00.0,50,61.7,51.8,47.1,
17,03Jan2024,13:45:00,15:00.0,52.2,66.2,54.7,47.7,
18,03Jan2024,14:00:00,15:00.0,53,70.4,55.5,47.5,
19,03Jan2024,14:15:00,15:00.0,51.2,72,53.3,47,
20,03Jan2024,14:30:00,15:00.0,49.3,58,51.6,46.2,
21,03Jan2024,14:45:00,15:00.0,51,63.3,52.8,47.2,
22,03Jan2024,15:00:00,15:00.0,51.1,58.5,52.7,48.6,
23,03Jan2024,15:15:00,15:00.0,51.3,68.9,52.7,48.6,
24,03Jan2024,15:30:00,15:00.0,49.5,60.5,51.2,47.2,
25,03Jan2024,15:45:00,15:00.0,50.2,59.2,52.2,47.3,
26,03Jan2024,16:00:00,15:00.0,50.5,70.7,51.8,47.5,
27,03Jan2024,16:15:00,15:00.0,50.6,65.9,51.7,47.7,
28,03Jan2024,16:30:00,15:00.0,52.1,68.4,53.1,47.3,
29,03Jan2024,16:45:00,15:00.0,50.7,60.1,52.7,47.7,
30,03Jan2024,17:00:00,15:00.0,50.1,56.1,52.1,47.5,
31,03Jan2024,17:15:00,15:00.0,50.2,59.2,52.5,47.2,
32,03Jan2024,17:30:00,15:00.0,50.6,60.5,52.7,47.3,
33,03Jan2024,17:45:00,15:00.0,49.3,59.5,51.2,46.7,
34,03Jan2024,18:00:00,15:00.0,49.2,61,51.7,46.1,
35,03Jan2024,18:15:00,15:00.0,49.3,60.1,51.7,46.2,
36,03Jan2024,18:30:00,15:00.0,49.2,65.9,51.3,46.1,
37,03Jan2024,18:45:00,15:00.0,48.7,59,51,45.8,
38,03Jan2024,19:00:00,15:00.0,49.5,66.9,51.2,46.1,
39,03Jan2024,19:15:00,15:00.0,48.2,60,50.2,45.3,
40,03Jan2024,19:30:00,15:00.0,49,59.1,51.2,45.7,
41,03Jan2024,19:45:00,15:00.0,48.7,61.7,51,45.1,
42,03Jan2024,20:00:00,15:00.0,48.2,56.7,50.5,45.1,
43,03Jan2024,20:15:00,15:00.0,46.7,60.5,48.8,43.8,
44,03Jan2024,20:30:00,15:00.0,47.2,55.5,49.6,44.2,
45,03Jan2024,20:45:00,15:00.0,46.3,55,48.5,43.2,
46,03Jan2024,21:00:00,15:00.0,46.7,59,48.7,43.2,
47,03Jan2024,21:15:00,15:00.0,46.2,54.3,48.5,43.2,
48,03Jan2024,21:30:00,15:00.0,46,64,47.7,42.2,
49,03Jan2024,21:45:00,15:00.0,45.6,55.8,48,41.5,
50,03Jan2024,22:00:00,15:00.0,45.5,54.1,48.3,40.3,
51,03Jan2024,22:15:00,15:00.0,47.2,59.8,50.2,40.3,
52,03Jan2024,22:30:00,15:00.0,45.1,56.6,48,39.1,
Model 820  Serial Number:A1013                       Interval Report ,,,,,,,,
From File: J3787.820                          Tue 16Jan2024 09:04:11 ,,,,,,,,
Period = 00:15 (hh:mm) ,,,,,,,,
-------------------------------------------------------------------- ,,,,,,,,
    ,         ,        ,        ,     ,     ,     ,     , 
    ,         ,        ,        , Lexqx,Lmax , L10 , L90 , 
Intv,  Date   ,  Time  ,Duration, dBA , dBA , dBA , dBA , 
----,---------,--------,--------,-----,-----,-----,-----, 
53,03Jan2024,22:45:00,15:00.0,44,57.1,46.6,40.2,
54,03Jan2024,23:00:00,15:00.0,43.8,51.8,46.6,40.6,
55,03Jan2024,23:15:00,15:00.0,43.3,52.8,46.1,39.3,
56,03Jan2024,23:30:00,15:00.0,43.8,52.7,46.2,40.6,
57,03Jan2024,23:45:00,15:00.0,42.6,51.7,45.3,38.5,
58,04Jan2024,00:00:00,15:00.0,42.2,51.2,45.3,38.6,
59,04Jan2024,00:15:00,15:00.0,43.6,52.8,46.6,40,
60,04Jan2024,00:30:00,15:00.0,42.7,55,46.5,38.1,
61,04Jan2024,00:45:00,15:00.0,42.3,53.6,44.7,38.7,
62,04Jan2024,01:00:00,15:00.0,42.7,56.2,45.7,38.2,
63,04Jan2024,01:15:00,15:00.0,41.8,53.5,44,38.2,
64,04Jan2024,01:30:00,15:00.0,42.8,53.3,46.2,38.5,
65,04Jan2024,01:45:00,15:00.0,42.1,52.2,44.7,38.7,
66,04Jan2024,02:00:00,15:00.0,45.7,68,45.5,38.8,
67,04Jan2024,02:15:00,15:00.0,41.2,51.7,43.7,38,
68,04Jan2024,02:30:00,15:00.0,42.2,53.2,44.5,39,
69,04Jan2024,02:45:00,15:00.0,42,53.3,44.3,38.5,
70,04Jan2024,03:00:00,15:00.0,42.6,62.2,44.8,38.1,
71,04Jan2024,03:15:00,15:00.0,42.7,61.7,44.8,39.1,
72,04Jan2024,03:30:00,15:00.0,42.2,52,44.1,40,
73,04Jan2024,03:45:00,15:00.0,43.5,52.2,46,39.7,
